site,area,plot_type,plot_ID,latitude,longitude,easting,northing,measurement_date,time,landscape_position,chamber_type,flux_CO2,flux_CH4,instrument,date,FCO2,FCH4,inundated,standing_water_depth,soil_temp_10_cm,soil_temp_15_cm,soil_temp_20_cm,air_temp,thawdepth,VWC,Ka
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-03,17:25,upland,Opq,2.464,-0.059,LGR,2016-08-03 17:25:00,2.9568e-05,-7.08e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_1,64.85995,-163.70358,561451,7193476,2016-08-03,17:19,upland,Trns,1.12,-0.16,LGR,2016-08-03 17:19:00,1.344e-05,-1.92e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:02,upland,Trns,-0.844,-0.74,LGR,2016-08-03 15:02:00,-1.0128e-05,-8.88e-09,N,0,5.8,NA,NA,16.7,58,29.4,16.9
CN_MM71,CN_MM71_BGC,BGC,BGC_10,64.85963,-163.69995,561624,7193444,2016-08-03,15:12,upland,Opq,1.624,-0.416,LGR,2016-08-03 15:12:00,1.9488e-05,-4.992e-09,N,0,5.8,NA,NA,16.7,58,29.4,16.9
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,14:59,slope,Trns,-0.485,146.418,LGR,2016-08-03 14:59:00,-5.82e-06,1.757016e-06,Y,2,NA,NA,NA,16.7,80,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_11,64.85941,-163.70348,561457,7193416,2016-08-03,15:18,slope,Opq,1.082,139.19,LGR,2016-08-03 15:18:00,1.2984e-05,1.67028e-06,Y,2,NA,NA,NA,16.7,80,NA,NA
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:05,lowland,Trns,-0.541,1.145,LGR,2016-08-03 14:05:00,-6.492e-06,1.374e-08,N,0,7,NA,NA,16.7,46,57.8,36.5
CN_MM71,CN_MM71_BGC,BGC,BGC_12,64.85974,-163.69836,561699,7193458,2016-08-03,14:13,lowland,Opq,1.985,1.037,LGR,2016-08-03 14:13:00,2.382e-05,1.2444e-08,N,0,7,NA,NA,16.7,46,57.8,36.5
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,14:25,upland,Opq,3.346,-2.43,LGR,2016-08-03 14:25:00,4.0152e-05,-2.916e-08,N,0,7.2,NA,NA,16.2,79,35,21.2
CN_MM71,CN_MM71_BGC,BGC,BGC_14,64.86012,-163.69757,561736,7193501,2016-08-03,13:54,upland,Trns,1.333,-1.438,LGR,2016-08-03 13:54:00,1.5996e-05,-1.7256e-08,N,0,7.2,NA,NA,16.2,79,35,21.2
