plot_ID,measurement_date,landscape_position,site,area,plot_type,latitude,longitude,easting,northing,time,chamber_type,flux_CO2,flux_CH4,instrument,date,NEE,FCH4,inundated,standing_water_depth,soil_temp_10_cm,soil_temp_15_cm,soil_temp_20_cm,air_temp,thawdepth,VWC,Ka,RECO
BGC_1,2016-08-03,upland,CN_MM71,CN_MM71_BGC,BGC,64.85995,-163.70358,561451,7193476,17:19,Trns,1.12,-0.16,LGR,2016-08-03 17:19:00,1.344e-05,-1.92e-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9568e-05
BGC_1,2016-08-04,upland,CN_MM71,CN_MM71_BGC,BGC,64.85995,-163.70358,561451,7193476,15:07,Trns,-0.27,-0.336,LGR,2016-08-04 15:07:00,-3.24e-06,-4.032e-09,N,0,10.3,NA,NA,20.1,45,30.6,17.9,1.9092e-05
BGC_1,2016-09-14,upland,CN_MM71,CN_MM71_BGC,BGC,64.85995,-163.70358,561451,7193476,10:46,Trns,-0.24,0.032,LGR,2016-09-14 10:46:00,-2.88e-06,3.84e-10,N,0,2.7,NA,NA,3.7,49,8.9,5.5,3.612e-06
BGC_1,2017-06-19,upland,CN_MM71,CN_MM71_BGC,BGC,64.85995,-163.70358,561451,7193476,14:34,Trns,1.991,20.206,LGR,2017-06-19 14:34:00,2.3892e-05,2.42472e-07,N,0,4.9,NA,0.8,12.4,22,28,10.5,1.2108e-05
BGC_1,2018-06-21,upland,CN_MM71,CN_MM71_BGC,BGC,64.85995,-163.70358,561451,7193476,14:13,Trns,-1.717,0.215,LGR,2018-06-21 14:13:00,-2.0604e-05,2.58e-09,N,0,NA,NA,NA,17.6,NA,NA,NA,1.866e-05
BGC_1,2019-06-20,upland,CN_MM71,CN_MM71_BGC,BGC,64.85995,-163.70358,561451,7193476,12:50,Trns,-0.764,-0.061,Pic,2019-06-20 12:50:00,-9.168e-06,-7.32e-10,N,0,10.9,7.1,NA,18.4,24,10.8,6.3,2.5668e-05
BGC_10,2016-08-03,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,15:02,Trns,-0.844,-0.74,LGR,2016-08-03 15:02:00,-1.0128e-05,-8.88e-09,N,0,5.8,NA,NA,16.7,58,29.4,16.9,1.9488e-05
BGC_10,2016-08-04,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,16:59,Trns,0.534,-0.823,LGR,2016-08-04 16:59:00,6.408e-06,-9.876e-09,N,0,8.1,NA,NA,6.2,58,64,41.6,1.8828e-05
BGC_10,2016-09-14,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,12:57,Trns,0.309,-1.67,LGR,2016-09-14 12:57:00,3.708e-06,-2.004e-08,N,0,2.8,NA,NA,6.2,80,12,6.7,1.0272e-05
BGC_10,2017-06-19,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,16:55,Trns,0.323,-0.812,LGR,2017-06-19 16:55:00,3.876e-06,-9.744e-09,N,0,3,NA,0.6,14.3,30,26.8,14.5,2.1336e-05
BGC_10,2017-07-12,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,15:56,Trns,-2.151,-20.509,LGR,2017-07-12 15:56:00,-2.5812e-05,-2.46108e-07,N,0,7.4,NA,2.1,25.9,32,17.1,8.8,2.7108e-05
BGC_10,2018-06-21,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,16:24,Trns,0.423,-0.461,LGR,2018-06-21 16:24:00,5.076e-06,-5.532e-09,N,0,3.2,NA,0.1,19,20,NA,NA,1.8384e-05
BGC_10,2018-08-31,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,15:13,Trns,0.09,-1.07,LGR,2018-08-31 15:13:00,1.08e-06,-1.284e-08,N,0,5,NA,4.6,11.6,55,NA,NA,1.392e-05
BGC_10,2019-06-20,upland,CN_MM71,CN_MM71_BGC,BGC,64.85963,-163.69995,561624,7193444,13:44,Trns,-0.481,-0.676,Pic,2019-06-20 13:44:00,-5.772e-06,-8.112e-09,N,0,12.1,5.6,NA,18.8,25,55.5,35.3,1.92e-05
BGC_11,2016-08-03,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,14:59,Trns,-0.485,146.418,LGR,2016-08-03 14:59:00,-5.82e-06,1.757016e-06,Y,2,NA,NA,NA,16.7,80,NA,NA,1.2984e-05
BGC_11,2016-08-04,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,17:12,Trns,-2.178,177.907,LGR,2016-08-04 17:12:00,-2.6136e-05,2.134884e-06,N,0,12.1,NA,NA,6.2,80,77.7,56.5,1.0068e-05
BGC_11,2016-09-14,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,13:15,Trns,0.515,152.201,LGR,2016-09-14 13:15:00,6.18e-06,1.826412e-06,N,0,4.7,NA,NA,6.2,80,64.1,41.7,8.424e-06
BGC_11,2017-06-19,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,17:11,Trns,-0.927,154.804,LGR,2017-06-19 17:11:00,-1.1124e-05,1.857648e-06,N,0,7.1,NA,3.4,15.4,36,70.4,47.9,2.6232e-05
BGC_11,2017-07-12,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,15:37,Trns,3.659,190.305,LGR,2017-07-12 15:37:00,4.3908e-05,2.28366e-06,Y,3,8.8,NA,5.3,25.2,42,59.2,37.3,2.736e-05
BGC_11,2018-06-21,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,16:40,Trns,1.353,459.565,LGR,2018-06-21 16:40:00,1.6236e-05,5.51478e-06,Y,10,NA,NA,NA,19,NA,NA,NA,2.1552e-05
BGC_11,2018-08-31,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,15:23,Trns,-0.463,342.914,LGR,2018-08-31 15:23:00,-5.556e-06,4.114968e-06,Y,12,8.3,NA,8.6,11.6,80,NA,NA,2.592e-05
BGC_11,2019-06-20,slope,CN_MM71,CN_MM71_BGC,BGC,64.85941,-163.70348,561457,7193416,13:56,Trns,0.24,1050.337,Pic,2019-06-20 13:56:00,2.88e-06,1.2604044e-05,Y,8.5,14.1,11.1,NA,18.8,118,80.9,60.5,3.1632e-05
BGC_12,2016-08-03,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,14:05,Trns,-0.541,1.145,LGR,2016-08-03 14:05:00,-6.492e-06,1.374e-08,N,0,7,NA,NA,16.7,46,57.8,36.5,2.382e-05
BGC_12,2016-09-14,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,13:44,Trns,0.255,2.07,LGR,2016-09-14 13:44:00,3.06e-06,2.484e-08,Y,19,4,NA,NA,7.8,60,45.4,28.3,7.932e-06
BGC_12,2017-06-19,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,17:49,Trns,-0.492,2.814,LGR,2017-06-19 17:49:00,-5.904e-06,3.3768e-08,N,0,8.2,NA,1.8,15.7,25,37.2,23.2,1.7472e-05
BGC_12,2017-06-21,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,12:09,Trns,-0.714,2.982,LGR,2017-06-21 12:09:00,-8.568e-06,3.5784e-08,N,0,4.2,NA,1.2,13.1,25,46,28.8,1.2504e-05
BGC_12,2017-07-12,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,15:15,Trns,0.71,1.134,LGR,2017-07-12 15:15:00,8.52e-06,1.3608e-08,N,0,6.4,NA,3.5,25.2,47,37.8,23.9,3.1884e-05
BGC_12,2018-06-21,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,17:19,Trns,-0.78,1.486,LGR,2018-06-21 17:19:00,-9.36e-06,1.7832e-08,N,0,4.5,NA,2.6,19,54,55.9,35.3,2.166e-05
BGC_12,2018-08-31,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,15:40,Trns,-0.845,17.796,LGR,2018-08-31 15:40:00,-1.014e-05,2.13552e-07,N,0,7.6,NA,6.9,11.6,67,NA,NA,3.4008e-05
BGC_12,2019-06-20,lowland,CN_MM71,CN_MM71_BGC,BGC,64.85974,-163.69836,561699,7193458,14:19,Trns,-2.025,13.247,Pic,2019-06-20 14:19:00,-2.43e-05,1.58964e-07,N,0,15.1,9.6,NA,19.2,91,61.3,39,4.1184e-05
BGC_13,2016-08-04,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,17:45,Trns,-1.74,85.875,LGR,2016-08-04 17:45:00,-2.088e-05,1.0305e-06,Y,6,9.6,NA,NA,6.8,80,86.3,67.3,9.96e-06
BGC_13,2016-09-14,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,14:04,Trns,-2.356,249.254,LGR,2016-09-14 14:04:00,-2.8272e-05,2.991048e-06,Y,6,4.6,NA,NA,6.8,80,79,58,1.1232e-05
BGC_13,2017-06-19,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,18:18,Trns,-0.987,102.196,LGR,2017-06-19 18:18:00,-1.1844e-05,1.226352e-06,Y,6,6.9,NA,3,15.7,35,72.6,50.5,2.0076e-05
BGC_13,2017-07-12,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,14:55,Trns,0.793,160.947,LGR,2017-07-12 14:55:00,9.516e-06,1.931364e-06,Y,5,9.8,NA,6.7,25,43,65.2,42.8,2.8344e-05
BGC_13,2017-09-10,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,15:12,Trns,-0.144,102.339,LGR,2017-09-10 15:12:00,-1.728e-06,1.228068e-06,Y,2,4.4,NA,3.6,11.4,61,16.4,8.4,2.4132e-05
BGC_13,2018-06-21,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,18:04,Trns,0.135,284.315,LGR,2018-06-21 18:04:00,1.62e-06,3.41178e-06,Y,10,8.5,NA,6.5,19,80,87.6,68.9,2.2872e-05
BGC_13,2018-08-31,upland,CN_MM71,CN_MM71_BGC,BGC,64.8597,-163.70341,561460,7193448,15:54,Trns,-0.235,155.474,LGR,2018-08-31 15:54:00,-2.82e-06,1.865688e-06,Y,13,9.1,NA,7.8,11.6,80,NA,NA,1.6368e-05
BGC_14,2016-08-03,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,13:54,Trns,1.333,-1.438,LGR,2016-08-03 13:54:00,1.5996e-05,-1.7256e-08,N,0,7.2,NA,NA,16.2,79,35,21.2,4.0152e-05
BGC_14,2016-08-04,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,18:18,Trns,1.18,-2.02,LGR,2016-08-04 18:18:00,1.416e-05,-2.424e-08,N,0,6.7,NA,NA,8.2,79,36.6,22.7,1.3284e-05
BGC_14,2016-09-14,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,14:25,Trns,0.265,-1.017,LGR,2016-09-14 14:25:00,3.18e-06,-1.2204e-08,N,0,4.2,NA,NA,8.2,73,21.7,11,4.356e-06
BGC_14,2017-06-19,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,18:37,Trns,0.128,-0.794,LGR,2017-06-19 18:37:00,1.536e-06,-9.528e-09,N,0,6,NA,0.3,15.7,18,2.3,2.8,2.2908e-05
BGC_14,2017-07-12,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,14:31,Trns,1.413,-0.414,LGR,2017-07-12 14:31:00,1.6956e-05,-4.968e-09,N,0,11.2,NA,5.7,24.7,33,25.4,13.2,2.898e-05
BGC_14,2018-06-21,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,17:37,Trns,0.294,-0.636,LGR,2018-06-21 17:37:00,3.528e-06,-7.632e-09,N,0,4.3,NA,1.9,19,28,35.5,21.7,2.568e-05
BGC_14,2018-08-31,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,16:09,Trns,0.227,-0.32,LGR,2018-08-31 16:09:00,2.724e-06,-3.84e-09,N,0,6.7,NA,6,11.6,69,NA,NA,1.8096e-05
BGC_14,2019-06-20,upland,CN_MM71,CN_MM71_BGC,BGC,64.86012,-163.69757,561736,7193501,14:43,Trns,-0.71,-0.875,Pic,2019-06-20 14:43:00,-8.52e-06,-1.05e-08,N,0,9.4,4.1,NA,19.2,29,27.9,15.5,1.638e-05
BGC_15,2016-08-03,upland,CN_MM71,CN_MM71_BGC,BGC,64.85999,-163.69698,561764,7193487,13:43,Trns,-0.578,0.17,LGR,2016-08-03 13:43:00,-6.936e-06,2.04e-09,N,0,5.2,NA,NA,16.2,56,34.4,20.8,1.3476e-05
BGC_15,2016-08-04,upland,CN_MM71,CN_MM71_BGC,BGC,64.85999,-163.69698,561764,7193487,18:30,Trns,-14.883,-69.768,LGR,2016-08-04 18:30:00,-0.000178596,-8.37216e-07,N,0,4.6,NA,NA,8.2,56,65.8,43.3,8.256e-06
BGC_15,2016-09-14,upland,CN_MM71,CN_MM71_BGC,BGC,64.85999,-163.69698,561764,7193487,14:41,Trns,-0.256,0.243,LGR,2016-09-14 14:41:00,-3.072e-06,2.916e-09,N,0,3.2,NA,NA,8.2,51,58.9,37.1,2.928e-06
BGC_15,2017-06-19,upland,CN_MM71,CN_MM71_BGC,BGC,64.85999,-163.69698,561764,7193487,19:27,Trns,-0.323,-0.121,LGR,2017-06-19 19:27:00,-3.876e-06,-1.452e-09,N,0,5.8,NA,0.8,12.3,26,22.7,11.5,8.364e-06
BGC_15,2017-07-12,upland,CN_MM71,CN_MM71_BGC,BGC,64.85999,-163.69698,561764,7193487,14:07,Trns,0.832,0.563,LGR,2017-07-12 14:07:00,9.984e-06,6.756e-09,N,0,8.1,NA,3,23.7,33,12.5,7,3.3912e-05
BGC_15,2017-09-10,upland,CN_MM71,CN_MM71_BGC,BGC,64.85999,-163.69698,561764,7193487,15:58,Trns,2.367,28.176,LGR,2017-09-10 15:58:00,2.8404e-05,3.38112e-07,N,0,1.5,NA,0.9,11.3,37,0,1.9,8.22e-06
